instance,estimated probability of purchase,Threshold1,Threshold2,purchased
0,0.058538752,0,1,1
1,0.08105482,0,1,0
2,0.050623488,0,1,0
3,0.069877236,0,1,0
4,0.039934515,0,0,0
5,0.044345638,0,0,0
6,0.038369719,0,0,0
7,0.045455921,0,0,0
8,0.043330489,0,0,0
9,0.051701942,0,1,0
10,0.077241027,0,1,0
11,0.045450789,0,0,0
12,0.069710858,0,1,0
13,0.037225715,0,0,0
14,0.056443796,0,1,0
15,0.045505733,0,0,0
16,0.039126725,0,0,0
17,0.079328306,0,1,1
18,0.043749514,0,0,0
19,0.046947077,0,0,0
20,0.04506819,0,0,0
21,0.044975573,0,0,1
22,0.055020983,0,1,0
23,0.060327865,0,1,0
24,0.0357681,0,0,0
25,0.05229275,0,1,1
26,0.055848764,0,1,0
27,0.06609549,0,1,0
28,0.04440269,0,0,0
29,0.078764243,0,1,1
30,0.046340072,0,0,0
31,0.045344314,0,0,0
32,0.03478362,0,0,0
33,0.070261164,0,1,0
34,0.052632865,0,1,0
35,0.066116278,0,1,0
36,0.063768983,0,1,0
37,0.07503104,0,1,0
38,0.062945256,0,1,0
39,0.03388387,0,0,0
40,0.04759039,0,0,0
41,0.056298671,0,1,0
42,0.055862228,0,1,0
43,0.070640222,0,1,0
44,0.010191629,0,0,0
45,0.049945041,0,0,0
46,0.072908386,0,1,0
47,0.057218474,0,1,0
48,0.043674443,0,0,0
49,0.033107933,0,0,0
50,0.043202682,0,0,0
51,0.050847914,0,1,0
52,0.061772435,0,1,0
53,0.045646517,0,0,0
54,0.053879941,0,1,0
55,0.060679498,0,1,0
56,0.052245153,0,1,0
57,0.054170594,0,1,0
58,0.035184331,0,0,0
59,0.043278136,0,0,0
60,0.035020541,0,0,0
61,0.043058208,0,0,0
62,0.0540316,0,1,0
63,0.028423381,0,0,0
64,0.059677664,0,1,0
65,0.043166838,0,0,0
66,0.049793078,0,0,0
67,0.053723778,0,1,0
68,0.052975059,0,1,0
69,0.059811919,0,1,0
70,0.0435804,0,0,0
71,0.038147304,0,0,1
72,0.043676377,0,0,0
73,0.046954635,0,0,0
74,0.062578408,0,1,0
75,0.05587356,0,1,0
76,0.042959441,0,0,0
77,0.035793945,0,0,0
78,0.053597446,0,1,0
79,0.053832069,0,1,0
80,0.050164363,0,1,0
81,0.042856172,0,0,0
82,0.061357299,0,1,0
83,0.059334998,0,1,0
84,0.020908378,0,0,0
85,0.042148897,0,0,0
86,0.042747297,0,0,0
87,0.050222359,0,1,0
88,0.037068435,0,0,0
89,0.063065958,0,1,0
90,0.061159055,0,1,0
91,0.072012194,0,1,0
92,0.058943341,0,1,0
93,0.055645201,0,1,0
94,0.042553331,0,0,0
95,0.062200193,0,1,0
96,0.056619923,0,1,1
97,0.049542235,0,0,0
98,0.037744376,0,0,0
99,0.057804616,0,1,0
100,0.027623566,0,0,0
101,0.042280428,0,0,1
102,0.048022975,0,0,0
103,0.049804539,0,0,0
104,0.035764019,0,0,0
105,0.059277245,0,1,0
106,0.062153003,0,1,0
107,0.046928622,0,0,0
108,0.06636437,0,1,0
109,0.066641147,0,1,0
110,0.040335343,0,0,0
111,0.052237261,0,1,0
112,0.064208056,0,1,0
113,0.055207873,0,1,0
114,0.052326905,0,1,0
115,0.037180458,0,0,0
116,0.042747297,0,0,0
117,0.048624809,0,0,0
118,0.054342026,0,1,0
119,0.021360551,0,0,0
120,0.046821142,0,0,0
121,0.071993028,0,1,0
122,0.037319032,0,0,0
123,0.055218782,0,1,1
124,0.077774566,0,1,0
125,0.005500023,0,0,0
126,0.034742674,0,0,0
127,0.069675538,0,1,0
128,0.042755014,0,0,0
129,0.061634009,0,1,0
130,0.037455284,0,0,0
131,0.073653645,0,1,1
132,0.051031407,0,1,0
133,0.049416697,0,0,0
134,0.04517345,0,0,0
135,0.045338181,0,0,0
136,0.044084738,0,0,0
137,0.064703323,0,1,0
138,0.042553331,0,0,0
139,0.037877449,0,0,0
140,0.05286484,0,1,0
141,0.008179725,0,0,0
142,0.053331801,0,1,0
143,0.077979587,0,1,0
144,0.048216747,0,0,0
145,0.068044424,0,1,0
146,0.063905452,0,1,0
147,0.037058274,0,0,0
148,0.042273344,0,0,0
149,0.042314959,0,0,0
150,0.045515197,0,0,0
151,0.055722152,0,1,0
152,0.04279998,0,0,0
153,0.049101666,0,0,0
154,0.054499245,0,1,0
155,0.042945908,0,0,0
156,0.044698043,0,0,0
157,0.048120435,0,0,0
158,0.034596878,0,0,0
159,0.06361979,0,1,0
160,0.043190894,0,0,0
